TimeStep,L_OS,L_NA,L_DA,L_MILP,L_GDA,L_FF,L_GD,L_MILPO,L_MI,XLAT,XLONG,
0,,0,0,0,0,0,0,0,0,4.27,88.49,
1,1,1,1,1,0,0,1,1,0,,,
2,1,0,1,1,1,1,1,0,0,,,
3,1,1,1,1,0,0,1,1,0,,,
4,,0,0,0,0,0,0,0,0,,,
5,1,1,1,1,0,0,0,1,0,,,
6,1,1,1,1,0,1,0,1,0,,,
7,1,0,1,1,1,0,0,0,0,3.52,88.18,
8,1,1,1,1,0,1,0,1,0,,,
9,1,0,0,0,0,0,0,0,0,,,
10,1,1,1,1,0,1,1,1,0,,,
11,1,0,1,1,1,0,1,0,0,,,
12,1,0,0,0,0,1,0,0,0,,,
13,1,1,1,1,0,0,1,1,0,,,
14,1,1,1,1,1,1,1,1,0,,,
15,1,1,1,1,0,0,0,1,0,,,
16,,0,0,0,0,0,0,0,0,,,
17,1,1,1,1,0,0,0,1,0,,,
18,,0,0,0,0,0,0,0,0,,,
19,1,1,1,1,0,0,0,1,0,,,
20,1,0,0,0,0,1,0,0,0,,,
21,,0,0,0,0,0,0,0,0,,,
22,1,0,0,0,0,1,0,0,0,,,
23,,0,0,0,0,0,0,0,0,,,
24,1,0,0,0,0,1,0,0,0,,,
25,1,1,1,1,1,0,1,1,0,4.19,87.13,
26,1,0,0,0,0,1,0,0,0,,,
27,1,1,1,1,0,0,1,1,0,,,
28,1,0,0,0,0,1,0,0,0,,,
29,1,1,1,1,1,0,1,1,1,,,
30,1,0,0,0,0,1,0,0,0,,,
31,,0,0,0,0,0,0,0,0,,,
32,1,0,0,0,0,1,0,0,0,,,
33,1,1,1,1,1,0,1,1,0,,,
34,1,0,0,0,0,1,0,0,0,,,
35,1,1,1,1,1,0,1,1,0,,,
36,,0,0,0,0,0,0,0,0,,,
37,,0,0,0,0,0,0,0,0,,,
38,,0,0,0,0,0,0,0,0,,,
39,1,0,0,0,0,0,0,0,0,,,
40,,0,0,0,0,0,0,0,0,,,
41,,0,0,0,0,0,0,0,0,,,
42,,0,0,0,0,0,0,0,0,,,
43,1,0,0,0,0,0,0,0,0,,,
44,1,0,0,0,0,1,0,0,1,,,
45,,0,0,0,0,0,0,0,0,,,
46,1,0,0,0,0,1,0,0,0,,,
47,,0,0,0,0,0,0,0,0,,,
48,,0,0,0,0,0,0,0,0,,,
49,,0,0,0,0,0,0,0,0,,,
50,1,1,1,1,1,1,1,1,0,6.19,91.98,
51,1,0,1,1,0,0,1,0,0,,,
52,1,1,1,1,1,1,1,1,0,,,
53,,0,0,0,0,0,0,0,0,,,
54,,0,0,0,0,0,0,0,0,,,
55,,0,0,0,0,0,0,0,0,,,
56,,0,0,0,0,0,0,0,0,,,
57,,0,0,0,0,0,0,0,0,,,
58,1,1,1,1,1,1,1,1,0,,,
59,1,0,0,0,0,0,0,0,0,,,
60,1,1,1,1,1,1,1,1,0,,,
61,,0,0,0,0,0,0,0,0,,,
62,1,1,1,1,1,1,1,1,0,5.25,90.26,
63,1,0,0,0,0,0,0,0,0,,,
64,,0,0,0,0,0,0,0,0,,,
65,1,0,0,0,0,0,0,0,0,,,
66,1,1,1,1,1,1,1,1,1,,,
67,1,0,0,0,0,0,0,0,0,,,
68,1,1,1,1,1,1,1,1,0,,,
69,1,0,0,0,0,0,0,0,0,,,
70,1,1,1,1,1,1,1,1,0,,,
71,,0,0,0,0,0,0,0,0,,,
72,,0,0,0,0,0,0,0,0,,,
73,,0,0,0,0,0,0,0,0,,,
74,,0,0,0,0,0,0,0,0,,,
75,,0,0,0,0,0,0,0,0,,,
76,1,1,1,1,0,1,1,1,0,,,
77,,0,0,0,0,0,0,0,0,,,
78,,0,0,0,0,0,0,0,0,,,
79,,0,0,0,0,0,0,0,0,,,
80,,0,0,0,0,0,0,0,0,,,
81,1,1,1,1,1,0,1,1,0,4.78,90.45,
82,,0,0,0,0,0,0,0,0,,,
83,,0,0,0,0,0,0,0,0,,,
84,,0,0,0,0,0,0,0,0,,,
85,,0,0,0,0,0,0,0,0,,,
86,,0,0,0,0,0,0,0,0,,,
87,,0,0,0,0,0,0,0,0,,,
88,,0,0,0,0,0,0,0,0,,,
89,1,1,1,1,1,0,1,1,0,4.59,90.11,
90,,0,0,0,0,0,0,0,0,,,
91,,0,0,0,0,0,0,0,0,,,
92,,0,0,0,0,0,0,0,0,,,
93,,0,0,0,0,0,0,0,0,,,
94,1,0,0,0,0,1,1,0,1,,,
95,,0,0,0,0,0,0,0,0,,,
96,,0,0,0,0,0,0,0,0,4.09,91.81,26
97,,0,0,0,0,0,0,0,0,,,
98,,0,0,0,0,0,0,0,0,,,
99,1,0,0,0,0,0,0,0,0,,,
100,,0,0,0,0,0,0,0,0,,,
101,,0,0,0,0,0,0,0,0,,,
102,,0,0,0,0,0,0,0,0,,,
103,,0,0,0,0,0,0,0,0,,,
104,,0,0,0,0,0,0,0,0,,,
105,,0,0,0,0,0,0,0,0,,,
106,,0,0,0,0,0,0,0,0,,,
107,,0,0,0,0,0,0,0,0,,,
108,,0,0,0,0,0,0,0,0,,,
109,,0,0,0,0,0,0,0,0,,,
110,,0,0,0,0,0,0,0,0,,,
111,,0,0,0,0,0,0,0,0,,,
112,,0,0,0,0,0,0,0,0,,,
113,,0,0,0,0,0,0,0,0,,,
114,1,1,1,1,1,1,1,1,0,6.17,91.22,
115,,0,0,0,0,0,0,0,0,,,
116,1,1,1,1,1,1,1,1,0,,,
117,,0,0,0,0,0,0,0,0,,,
118,,0,0,0,0,0,0,0,0,,,
119,,0,0,0,0,0,0,0,0,,,
120,,0,0,0,0,0,0,0,0,,,
121,1,0,0,0,0,0,0,0,0,,,
122,1,1,1,1,1,1,1,1,1,,,
123,,0,0,0,0,0,0,0,0,,,
124,1,1,1,1,1,1,1,1,0,,,
125,1,1,1,1,0,0,1,1,0,,,
126,,0,0,0,0,0,0,0,0,,,
127,,0,0,0,0,0,0,0,0,,,
128,1,0,0,0,0,1,0,0,0,,,
129,,0,0,0,0,0,0,0,0,,,
130,1,0,0,0,0,1,0,0,0,,,
131,,0,0,0,0,0,0,0,0,,,
132,1,0,0,0,0,1,0,0,0,,,
133,1,0,0,0,0,0,0,0,0,,,
134,,0,0,0,0,0,0,0,0,,,
135,,0,0,0,0,0,0,0,0,,,
136,1,1,1,1,1,1,1,1,0,6.82,91.03,
137,1,0,0,0,0,0,0,0,0,,,
138,1,0,0,0,0,1,0,0,0,,,
139,1,1,1,1,1,0,1,1,0,,,
140,1,0,0,0,0,1,0,0,0,,,
141,1,0,0,0,0,0,0,0,0,,,
142,,0,0,0,0,0,0,0,0,,,
143,1,0,0,0,0,0,0,0,0,,,
144,,0,0,0,0,0,0,0,0,,,
145,1,1,1,1,1,0,1,1,0,,,
146,1,0,0,0,0,1,0,0,0,,,
147,,0,0,0,0,0,0,0,0,,,
148,1,0,0,0,0,1,0,0,0,,,27
149,1,1,1,1,1,0,1,1,0,7.33,90.01,
150,1,0,0,0,0,1,0,0,0,,,
151,1,1,1,1,1,0,1,1,0,,,
