TimeStep,DA,NA,Greedy,milpa,Greedy2,milpo,MI,FF
1,1,,1,1,1,,1,1
2,1,,1,1,1,,,
3,1,1,1,1,,1,,1
4,1,,1,1,,,,
5,1,1,,1,1,1,,1
6,1,,,1,1,,,
7,1,,,1,,,,1
8,1,1,,1,1,1,,
9,1,,,1,,,,1
10,1,1,,1,,1,,
11,1,,1,1,1,,,1
12,1,,1,1,,,,
13,1,1,,1,,1,,1
14,1,,1,1,1,,,
15,1,1,,1,,1,,1
16,1,,,1,1,,1,
17,1,,,,,,,1
18,1,1,1,1,1,1,,
19,1,,,1,,,,1
20,1,1,,1,,1,,
21,1,,1,1,1,,,1
22,0,,,,,,,
23,1,1,1,1,1,1,,1
24,0,,,,,,,
25,1,1,1,1,1,1,1,1
26,1,,,,,,,
27,1,,,,,,,1
28,1,1,,,,1,,
29,1,,,,,,,1
30,1,1,1,1,1,1,,
31,0,,,,,,,1
32,1,,1,1,1,,,
33,0,,,,,,,1
34,1,1,1,,1,1,,
35,0,,,,,,,1
36,0,,,,,,,
37,1,1,1,1,1,1,,1
38,0,,,,,,1,
39,1,1,1,1,1,1,,1
40,1,1,,,,1,,
41,0,,,,,,,1
42,1,,1,1,1,,,
43,0,,,,,,,1
44,1,1,1,,1,1,,
45,0,,,,,,,1
46,0,,,,,,,
47,1,1,1,1,1,1,1,1
48,0,,,,,,,
49,0,,,,,,,1
50,1,1,1,1,1,1,,
51,0,,,,,,,1
52,1,1,1,1,1,1,,
53,0,,,,,,,1
54,1,1,1,1,1,1,,
55,0,,,,,,,1
56,1,1,1,1,1,1,,
57,0,,,,,,1,1
58,1,1,1,1,1,1,,
59,0,,,,,,,1
60,1,1,,,,1,,
61,0,,,,,,,1
62,0,,,,,,,
63,1,1,1,1,1,1,,1
64,0,,,,,,,
65,1,1,1,1,1,1,,1
66,0,,,,,,,
67,1,,1,1,1,,1,1
68,0,,,,,,,
69,1,1,1,1,1,1,,1
70,0,,,,,,,
71,1,1,1,1,1,1,,1
72,0,,,,,,,
73,1,1,,,,1,,1
74,0,,,,,,,
75,0,,,,,,,1
76,1,1,1,1,1,1,,
77,0,,,,,,,1
78,1,1,1,1,1,1,,
79,0,,,,,,,1
80,1,1,1,1,1,1,,
81,0,,,,,,1,1
82,0,,,,,,,
83,1,1,1,1,1,1,,1
84,0,,,,,,,
85,0,,,,,,,1
86,0,,,,,,,
87,1,1,1,1,1,1,,1
88,0,,,,,,,
89,1,1,1,1,1,1,,1
90,0,,,,,,,
91,1,1,1,1,1,1,,1
92,0,,,,,,1,
93,0,,,,,,,1
94,1,1,1,1,1,1,,
95,0,,,,,,,1
96,0,,,,,,,
97,0,,,,,,,1
98,1,1,1,,1,1,,
99,0,,,,,,1,1
100,1,1,1,,1,1,,
101,0,,,,,,1,1
102,1,1,1,1,1,1,,
103,0,,,,,,,1
104,1,1,1,1,1,1,,
105,0,,,,,,,1
106,1,1,1,,1,1,,
107,0,,,,,,,1
108,1,1,1,,1,1,,
109,0,,,,,,,1
110,0,,,,,,1,
111,1,1,1,1,1,1,,1
112,0,,,,,,,
113,1,1,1,1,1,1,,1
114,0,,,,,,,
115,1,1,1,1,1,1,,1
116,0,,,,,,,
117,1,,1,1,1,,,1
118,0,,,,,,1,
119,1,1,1,1,1,1,,1
120,0,,,,,,,
121,0,,,,,,,1
122,1,1,1,,1,1,1,
123,0,,,,,,,1
124,1,1,1,,1,1,,
125,0,,,,,,,1
126,1,1,1,1,1,1,,
127,0,,,,,,,1
128,1,1,1,1,1,1,,
129,0,,,,,,,1
130,0,,,,,,1,
131,1,1,1,,1,1,,1
132,0,,,,,,,
133,0,,,,,,,1
134,0,,,,,,,
135,1,1,1,1,1,1,,1
136,0,,,,,,,
137,1,1,1,1,1,1,,1
138,0,,,,,,1,
139,1,1,1,1,1,1,,1
140,0,,,,,,,
141,1,1,1,,1,1,,1
142,0,,,,,,,
143,0,,,,,,,1
144,1,1,1,1,1,1,,
145,0,,,,,,,1
146,0,,,,,,,
147,1,1,1,1,1,1,1,1
148,0,,,,,,,
149,1,1,1,1,1,1,,1
150,0,,,,,,,
151,1,1,1,1,1,1,,1
152,0,,,,,,,
153,1,1,1,1,1,1,,1
154,0,,,,,,,
155,1,1,1,1,1,1,,1
156,0,,,,,,1,
157,1,,,,,,,1
158,0,,,,,,,
159,1,1,1,1,1,1,1,1
160,0,,,,,,,
161,1,1,1,1,1,1,,1
162,0,,,,,,,
163,1,1,1,1,1,1,,1
164,0,,,,,,,
165,1,1,1,1,1,1,,1
166,0,,,,,,,
167,1,,1,1,1,,,1
168,0,,,,,,,
169,1,1,,,,1,1,1
170,0,,,,,,,
171,0,,,,,,,1
172,1,1,1,1,1,1,,
173,0,,,,,,,1
174,1,1,1,1,1,1,,
175,0,,,,,,,1
176,1,1,1,1,1,1,,
177,0,,,,,,,1
178,0,,,,,,,
179,1,1,1,1,1,1,1,1
180,0,,,,,,,
181,0,,,,,,,1
182,0,,,,,,,
183,1,1,1,1,1,1,,1
184,0,,,,,,1,
185,1,1,1,1,1,1,,1
186,0,,,,,,,
187,1,1,1,1,1,1,,1
188,0,,,,,,,
189,0,,,,,,,1
190,1,1,1,1,1,1,,
191,0,,,,,,1,1
192,0,,,,,,,
